ID,Total,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,zero,one,two,three,four,five,six,seven,eight,nine,ten,eleven,twelve,thirteen,fourteen,fifteen,sixteen,seventeen,eighteen,nineteen,twenty,twentyone,twentytwo,twentythree
93011,254,26,79,81,16,20,17,15,30,17,9,7,3,0,0,2,1,3,2,1,3,3,6,7,2,13,13,7,16,22,40,47
91517,35,3,19,0,4,1,6,2,0,2,3,0,1,0,0,0,0,0,1,0,3,0,3,1,0,2,0,5,2,6,1,5
92505,83,12,22,27,10,2,4,6,6,8,8,2,1,2,1,0,0,0,0,1,0,0,1,0,1,1,3,4,8,10,11,15
91507,57,8,20,12,0,6,4,7,2,3,1,3,2,0,0,0,0,3,1,2,0,0,0,0,1,3,2,9,2,9,4,10
92925,101,16,30,24,5,10,7,9,6,1,2,2,0,0,0,0,0,0,0,4,1,6,3,2,14,9,3,4,7,11,6,20
90631,252,29,65,100,17,9,10,22,23,14,10,7,4,5,2,0,0,1,2,1,5,9,4,6,6,8,16,12,26,25,43,23
90227,125,13,23,33,16,17,15,8,6,8,6,6,4,2,2,0,2,1,3,1,4,4,0,2,2,5,13,10,10,14,7,13
92126,303,33,88,88,27,24,20,23,13,9,0,3,2,1,0,1,1,0,3,0,6,10,13,9,13,20,25,23,53,33,32,33
92804,36,4,10,14,7,0,1,0,7,3,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,4,2,1,7,4
93104,68,8,35,19,2,3,1,0,9,4,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,6,10,20,13
92615,114,25,31,25,8,10,7,8,2,8,3,5,1,0,0,1,1,2,0,6,0,2,4,4,4,5,3,4,4,9,25,21
92529,67,9,16,17,7,4,5,9,12,3,1,2,0,0,2,0,1,0,1,0,0,1,0,2,2,1,4,2,5,3,14,11
90507,55,4,19,14,6,3,8,1,7,4,2,2,0,0,0,1,0,1,0,1,0,1,0,0,2,1,3,4,0,6,11,9
90122,102,12,35,14,9,5,13,14,13,2,3,2,5,1,1,0,1,0,0,1,1,3,2,2,3,4,2,4,3,10,20,19
90501,34,11,6,5,3,5,2,2,6,2,1,0,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,2,6,7,4
91330,241,43,48,61,20,21,17,31,26,17,17,9,3,1,2,3,1,0,3,2,4,3,3,4,2,7,1,11,13,25,36,48
90502,121,11,33,49,8,6,3,11,5,5,3,0,0,0,1,0,1,1,1,0,2,1,5,3,9,8,5,3,9,24,22,13
90112,28,8,11,3,3,1,0,2,2,0,2,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,4,3,4,7
90505,48,6,14,9,2,4,4,9,8,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,4,4,9,17
91707,397,65,157,86,14,14,27,34,47,32,12,4,3,0,2,0,2,3,2,5,7,5,6,4,6,9,8,11,37,34,62,96
91203,177,19,47,44,24,14,14,15,20,11,3,4,2,3,1,1,1,0,7,3,2,4,3,5,8,4,8,2,12,15,28,30
90207,184,28,63,26,18,21,14,14,14,9,2,6,1,0,0,2,1,3,3,3,3,2,4,5,1,4,5,4,13,25,43,31
90704,30,8,9,3,2,2,5,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,3,1,2,8,9
92403,166,11,52,72,15,8,4,4,19,19,16,10,10,2,0,0,0,0,0,0,1,2,1,2,3,5,4,2,10,13,22,25
90601,138,31,34,40,4,4,9,16,51,15,7,0,0,1,0,0,1,0,0,0,6,1,2,1,1,3,0,0,3,9,9,28
